Membership No  Date Joined  Active  
    80483      2015-12-16   no    
    85127      2017-10-1    no    
    83278      2019-2-24    no    
    67475      2020-10-12   no    
    71664      2015-6-15    no    
    31255      2017-9-14    no    
    77649      2016-8-24    no    
    54744      2019-5-23    no    
    86244      2016-2-21    no    
    56583      2020-9-19    no    
    83149      2017-2-16    no    
    71378      2017-5-21    no    
    53734      2019-6-5     no    
    44952      2018-5-8     no    
